ID;TTW;FeedMode;T_SP;Total Rich;Total Lean;O2 rich;CO rich;CO2 rich;NO rich;NO2 rich;NH3 rich;N2O rich;H2 rich;SO2 rich;C2H4 rich;C3H6 rich;C3H8 rich;CH4 rich;H2O rich;O2 lean;CO lean;CO2 lean;NO lean;NO2 lean;NH3 lean;N2O lean;H2 lean;SO2 lean;C2H4 lean;C3H6 lean;C3H8 lean;CH4 lean;H2O lean
66;200;3;361.59;116.6502;0;1.327611618;0.572056788;16.3335063;0.270237836;0;0;0;0;0;0;0.099192815;0;0;14.33805;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;200;3;361.27;114.7833;0;1.747698018;0.53226509;16.33901489;0.269122798;0;0;0;0;0;0;0.099756111;0;0;14.32164;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;200;3;360.95;109.5;0;0.345941125;0.516953245;16.33658941;0.267963946;0;0;0;0;0;0;0.10057497;0;0;14.31198;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;200;3;360.32;106.08;0;0;0.556540834;16.32251177;0.26679314;0;0;0;0;0;0;0.101639289;0;0;14.32201;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;200;3;360;101.254;0;0;0.643770085;16.2952369;0.265532248;0;0;0;0;0;0;0.102795399;0;0;14.34675;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;200;3;359.68;93.99953;0;0.2;0.74276019;16.25512308;0.264114804;0;0;0;0;0;0;0.103980774;0;0;14.36792;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;200;3;359.05;92.06326;0;0.43614922;0.811195627;16.21207073;0.262130295;0;0;0;0;0;0;0.105249531;0;0;14.37121;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;200;3;358.73;91.23163;0;1.66802495;0.820034808;16.1806543;0.258741252;0;0;0;0;0;0;0.106609265;0;0;14.35266;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;200;3;358.41;91.16047;0;1.266862666;0.781581322;16.15725483;0.253079597;0;0;0;0;0;0;0.108019678;0;0;14.31589;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;200;3;358.1;90.43907;0;1.178086433;0.728498608;16.14400959;0.244569123;0;0;0;0;0;0;0.109452227;0;0;14.27904;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;200;3;357.78;89.04651;0;0.2;0.702064523;16.14389621;0.23447951;0;0;0;0;0;0;0.110942645;0;0;14.26543;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;200;3;357.46;87.76186;0;0;0.738854786;16.15491921;0.222943952;0;0;0;0;0;0;0.112535125;0;0;14.29236;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;200;3;356.83;83.59349;0;0;0.793264711;16.16113207;0.208468461;0;0;0;0;0;0;0.114107086;0;0;14.32469;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;200;3;356.19;80.48791;0;0.719057306;0.81808476;16.16932252;0.192455577;0;0;0;0;0;0;0.115471245;0;0;14.34335;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;200;3;355.87;72.19767;0;1.865086184;0.788258241;16.1844233;0.175733907;0;0;0;0;0;0;0.116301677;0;0;14.33924;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;200;3;355.56;65.76465;0;1.821760644;0.712123912;16.20327011;0.1584195;0;0;0;0;0;0;0.116611517;0;0;14.31421;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;200;3;355.24;51.04;0;2.142118539;0.610987242;16.21194139;0.140912444;0;0;0;0;0;0;0.117087526;0;0;14.26875;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;200;3;354.92;44.15953;0;2.787927003;0.522231081;16.19446601;0.124351613;0;0;0;0;0;0;0.118942811;0;0;14.2102;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;200;3;354.61;36.4614;0;3.001821937;0.44802181;16.13750529;0.110952293;0;0;0;0;0;0;0.122772698;0;0;14.12985;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;200;3;354.29;23.95674;0;2.545467299;0.391010219;16.04530439;0.099013317;0;0;0;0;0;0;0.128332191;0;0;14.03217;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;200;3;353.97;21.10744;0;2.788644701;0.350368273;15.93855836;0.091757088;0;0;0;0;0;0;0.134791196;0;0;13.93199;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;200;3;353.65;18.92884;0;2.054111595;0.324664464;15.84298417;0.088217927;0;0;0;0;0;0;0.140613492;0;0;13.84767;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;200;3;353.34;20.94558;0;1.151255776;0.322530452;15.80377747;0.088454091;0;0;0;0;0;0;0.144569389;0;0;13.81744;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;200;3;353.02;29.25535;0;0.444331212;0.354884139;15.83075998;0.092738827;0;0;0;0;0;0;0.146737999;0;0;13.85442;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;200;3;353.02;34.34744;0;0;0.430227735;15.90507137;0.099920315;0;0;0;0;0;0;0.147938604;0;0;13.94883;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;200;3;352.7;40.13395;0;0;0.542810439;15.99216277;0.110004453;0;0;0;0;0;0;0.148780251;0;0;14.07166;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;200;3;352.38;53.24465;0;0;0.666556346;16.06552582;0.12184763;0;0;0;0;0;0;0.149713933;0;0;14.18955;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;200;3;352.38;58.05302;0;0.998690465;0.735835235;16.11247628;0.134129318;0;0;0;0;0;0;0.150840462;0;0;14.25961;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;200;3;352.07;64.88326;0;1.260467896;0.745672048;16.14579341;0.14588348;0;0;0;0;0;0;0.151796499;0;0;14.28913;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;200;3;352.07;66.05814;0;1.106868545;0.717175148;16.17511177;0.156306791;0;0;0;0;0;0;0.151595336;0;0;14.29611;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;200;3;351.75;66.7293;0;1.444720726;0.671025929;16.20488642;0.164739469;0;0;0;0;0;0;0.149216568;0;0;14.29437;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;200;3;351.75;66.65209;0;1.008636661;0.632474583;16.23659164;0.171526719;0;0;0;0;0;0;0.144736827;0;0;14.2979;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;200;3;351.75;65.53349;0;0;0.633186845;16.26392392;0.175628017;0;0;0;0;0;0;0.138832744;0;0;14.31834;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;200;3;351.75;62.75209;0;0.2;0.668158853;16.28184931;0.177550441;0;0;0;0;0;0;0.132875792;0;0;14.34941;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;200;3;351.75;61.25721;0;0.206603143;0.715522472;16.28869435;0.178145988;0;0;0;0;0;0;0.128353267;0;0;14.37865;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;200;3;351.43;58.32698;0;0.2;0.755636136;16.28765333;0.17757368;0;0;0;0;0;0;0.125710194;0;0;14.39835;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;200;3;351.43;57.50372;0;0.669252962;0.763938878;16.28247822;0.175805906;0;0;0;0;0;0;0.124263416;0;0;14.39878;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;200;3;350.8;54.78186;0;1.478819317;0.728806528;16.28001281;0.173097843;0;0;0;0;0;0;0.123277904;0;0;14.37906;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;200;3;350.16;54.61023;0;1.748655711;0.659558071;16.28440579;0.16978718;0;0;0;0;0;0;0.122474362;0;0;14.34689;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;200;3;349.21;54.46372;0;1.689858489;0.578596442;16.2940862;0.166115186;0;0;0;0;0;0;0.121812124;0;0;14.31247;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;200;3;348.26;52.9107;0;1.381889027;0.503259789;16.30436748;0.162476704;0;0;0;0;0;0;0.121316981;0;0;14.28125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;200;3;347.3;51.9293;0;1.975949839;0.446799637;16.31175499;0.159334127;0;0;0;0;0;0;0.121005975;0;0;14.25754;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;200;3;346.67;51.44279;0;0.575071754;0.433566812;16.31349432;0.156959874;0;0;0;0;0;0;0.120937239;0;0;14.25197;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;200;3;346.67;50.81209;0;0.2;0.469974947;16.31141875;0.15560113;0;0;0;0;0;0;0.121090055;0;0;14.26926;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;200;3;346.99;48.69256;0;0.2;0.539155648;16.30886323;0.155542274;0;0;0;0;0;0;0.121337326;0;0;14.30304;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;200;3;346.99;48.66372;0;0.246545423;0.611318171;16.30539783;0.156768843;0;0;0;0;0;0;0.121482545;0;0;14.33757;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;200;3;347.3;48.39163;0;0.336496753;0.654252827;16.30538096;0.159069711;0;0;0;0;0;0;0.121508133;0;0;14.35956;0;0;0;0;0;0;0;0;0;0;0;0;0;0
